diff	method	para
-0.0983383477386081	alpha_1	simulation4
-0.0249782406288209	alpha_1	simulation4
-0.00161102662748702	alpha_1	simulation4
-0.0409312460105408	alpha_1	simulation4
-0.0431282118344314	alpha_1	simulation4
-0.051075363786919	alpha_1	simulation4
-0.0517071414343716	alpha_1	simulation4
-0.0562557286348933	alpha_1	simulation4
-0.0897376888545578	alpha_1	simulation4
-0.0312055754520998	alpha_1	simulation4
-0.00275424857391104	alpha_1	simulation4
-0.0454021264266955	alpha_1	simulation4
-0.0580886423148573	alpha_1	simulation4
-0.043884338130496	alpha_1	simulation4
-0.0552223258880511	alpha_1	simulation4
-0.0567261661443003	alpha_1	simulation4
-0.0753049665509497	alpha_1	simulation4
-0.0361979668338785	alpha_1	simulation4
0.000749539483296091	alpha_1	simulation4
-0.0522273527529069	alpha_1	simulation4
-0.0225355075029653	alpha_1	simulation4
-0.0624095305249172	alpha_1	simulation4
-0.0756764412150324	alpha_1	simulation4
-0.0640697286626096	alpha_1	simulation4
-0.0471786149890941	alpha_1	simulation4
-0.0557347635573376	alpha_1	simulation4
-0.000188559948467004	alpha_1	simulation4
-0.0355225761788613	alpha_1	simulation4
-0.0524277761724211	alpha_1	simulation4
-0.0529190823399161	alpha_1	simulation4
-0.0541764867489555	alpha_1	simulation4
-0.0542574245752115	alpha_1	simulation4
-0.0862226720774742	alpha_1	simulation4
-0.0320900419253484	alpha_1	simulation4
0.00066719104059304	alpha_1	simulation4
-0.0592480270907389	alpha_1	simulation4
-0.0213384068549762	alpha_1	simulation4
-0.0620733088676516	alpha_1	simulation4
-0.0739566191002879	alpha_1	simulation4
-0.064232596937302	alpha_1	simulation4
-0.0427155404675929	alpha_1	simulation4
-0.0572195233697541	alpha_1	simulation4
0.00102669598471494	alpha_1	simulation4
-0.0454055020669783	alpha_1	simulation4
-0.0393453123243609	alpha_1	simulation4
-0.0481129045478954	alpha_1	simulation4
-0.0476201321347733	alpha_1	simulation4
-0.0559785408142551	alpha_1	simulation4
-0.101075463212902	alpha_1	simulation4
-0.0252069534644122	alpha_1	simulation4
0.000702120899507663	alpha_1	simulation4
-0.0453410160479267	alpha_1	simulation4
-0.0315002568252258	alpha_1	simulation4
-0.0635489568863819	alpha_1	simulation4
-0.0702303479113434	alpha_1	simulation4
-0.0622074554183463	alpha_1	simulation4
-0.056191085999016	alpha_1	simulation4
-0.0485284423491765	alpha_1	simulation4
0.000307468800765376	alpha_1	simulation4
-0.0406101762133575	alpha_1	simulation4
-0.053230600515047	alpha_1	simulation4
-0.0547356534930571	alpha_1	simulation4
-0.0612005460481725	alpha_1	simulation4
-0.0571852658463938	alpha_1	simulation4
-0.0685880413999191	alpha_1	simulation4
-0.0403453634179824	alpha_1	simulation4
-0.000498658131902419	alpha_1	simulation4
-0.0311047427168535	alpha_1	simulation4
-0.0543778046691634	alpha_1	simulation4
-0.0561929296594267	alpha_1	simulation4
-0.0516445667767959	alpha_1	simulation4
-0.0566188674828894	alpha_1	simulation4
-0.0870406050675561	alpha_1	simulation4
-0.0299568082393212	alpha_1	simulation4
-0.000427958537776996	alpha_1	simulation4
-0.0528714542505795	alpha_1	simulation4
-0.0458113880259054	alpha_1	simulation4
-0.0448591096662831	alpha_1	simulation4
